current_path,intended_path,classification,owning_issue,lifecycle_status,migration_status,caller_notes,documentation_notes
R/03_Supplementary_analyses/Testing/testthat/test-get_functional_type_classification_path_from_store.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Ingest/Functional_type_classification/test-resolve_functional_type_classification_path_from_store.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_latest_dated_file_path.R,R/03_Supplementary_analyses/Testing/testthat/Data_access/Files/test-resolve_latest_dated_file_path.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_model_tuning_param_for_scale_and_resolution.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Configuration/Model_tuning/test-load_model_tuning_parameter_for_scale_and_resolution.R,test,#154,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_model_tuning_params.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Configuration/Model_tuning/test-load_model_tuning_parameters.R,test,#154,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_new_targets_errors.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Orchestration/Errors/test-extract_new_target_errors.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_pollen_sum.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Transformation/Proportions/test-summarise_pollen_counts_by_sample.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-get_predictor_collinearity.R,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Transformation/Predictor_selection/test-compute_predictor_collinearity.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-get_preprocessing_controller.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Configuration/Runtime/test-build_preprocessing_controller.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_sample_ages.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Ages/test-extract_sample_ages.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-get_scale_id_from_store.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Stores/Spatial_models/test-resolve_scale_id_from_store.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_sjsdm_staged_benchmark_policy.R,R/03_Supplementary_analyses/Testing/testthat/test-get_sjsdm_staged_benchmark_policy.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_spatial_window.R,R/03_Supplementary_analyses/Testing/testthat/Data/Spatial/Grid_catalogue/test-load_spatial_window.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-get_taxa_classification.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Ingest/Classification/test-load_taxa_classification.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-get_taxa_without_classification.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-select_unclassified_taxa.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-get_trait_domain_names_from_vegvault.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Ingest/test-load_trait_domain_names_from_vegvault.R,test,#153,active,migrated,Mirrors the trait-ingest function hierarchy.,Update generated references with trait-ingest changes.
R/03_Supplementary_analyses/Testing/testthat/test-has_sjsdm_tuning_evidence.R,R/03_Supplementary_analyses/Testing/testthat/test-has_sjsdm_tuning_evidence.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-interpolate_community_data.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/Core/test-interpolate_grouped_time_series.R,test,#153,archived,migrated,Redundant wrapper coverage was folded into the grouped interpolation core.,Obsolete wrapper documentation was removed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-interpolate_community_data_with_uncertainty.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/Community/Age_uncertainty/test-interpolate_paleo_community_with_age_uncertainty.R,test,#153,active,migrated,Active references use the intended paleo age-uncertainty path.,Path and public function rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-interpolate_community_dataset_from_shared_inputs.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/Branching/test-interpolate_community_dataset_from_shared_inputs.R,test,#153,active,migrated,Active references use the intended path.,Path migration and argument rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-interpolate_data.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/Core/test-interpolate_grouped_time_series.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic contract rename completed by #153.
,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/Core/test-compute_interpolation_on_age_grid.R,test,#153,active,migrated,Directly covers the internal interpolation-grid contract.,Added after the temporal interpolation migration review.
,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/Core/test-muffle_package_version_warning.R,test,#153,active,migrated,Directly covers package-version warning handling.,Added after the temporal interpolation migration review.
,R/03_Supplementary_analyses/Testing/testthat/Data/Spatial/Grid_generation/test-build_spatial_grid_tiles.R,test,#153,active,migrated,Mirrors the extracted spatial-grid tile builder.,Added during the R/01 data-processing closure review.
R/03_Supplementary_analyses/Testing/testthat/test-interpolate_mev_to_grid.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Spatial_effects/Projection/test-interpolate_mev_to_grid.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-interpolate_st_mev_to_grid.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Spatial_effects/Projection/test-interpolate_st_mev_to_grid.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-load_continental_rows.R,R/03_Supplementary_analyses/Testing/testthat/Data/Spatial/Grid_catalogue/test-load_continental_spatial_grid_rows.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-load_decomposition_diagnostic_inputs.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Decomposition/Diagnostics/test-load_decomposition_diagnostic_inputs.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-load_project_functions.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Definitions/test-load_project_functions.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_classification_table.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-build_classification_table.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-make_community_data_long.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Transformation/Data_shape/test-reshape_community_to_long.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-make_community_filter_targets.R,R/03_Supplementary_analyses/Testing/testthat/test-make_community_filter_targets.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_community_interpolation_index.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/Branching/test-build_community_interpolation_index.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-make_community_interpolation_jobs.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Interpolation/_outdated/Jobs/test-make_community_interpolation_jobs.R,test,#153,archived,migrated,No active caller remains after the shared-input migration.,Retired job-builder test preserved under _outdated by #153.
R/03_Supplementary_analyses/Testing/testthat/test-make_community_proportions.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Transformation/Proportions/test-prepare_community_proportions.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-make_community_record_signatures.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Quality_control/Duplicates/test-build_community_record_signatures.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_assignments_from_resolution.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_assignments_from_resolution.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_branch_assignments.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_branch_assignments.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates_from_resolution.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates_from_resolution.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_location_table.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_location_table.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_partition_diagnostics.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_partition_diagnostics.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_decomposition_diagnostic_routes.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Decomposition/Diagnostics/test-build_decomposition_diagnostic_routes.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-make_decomposition_env_formula.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Decomposition/Diagnostics/test-build_decomposition_environment_formula.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-make_env_formula.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-build_jsdm_environment_formula.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-make_leave_one_location_out_assignments.R,R/03_Supplementary_analyses/Testing/testthat/test-make_leave_one_location_out_assignments.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_modern_data_quality_report.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Quality_control/Modern_records/test-evaluate_modern_data_quality.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-make_repeated_cv_indices.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Decomposition/Diagnostics/test-build_repeated_diagnostic_fold_indices.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_empty_selected_fold_artifacts.R,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_empty_selected_fold_artifacts.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_regularization_candidates.R,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_regularization_candidates.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_structured_regularization_candidates.R,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_structured_regularization_candidates.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_fold_context.R,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_fold_context.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_spatial_cross_validation_assignments.R,R/03_Supplementary_analyses/Testing/testthat/test-make_spatial_cross_validation_assignments.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-make_trait_table.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Transformation/Table_construction/test-build_trait_table.R,test,#153,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-mix_variance_component_colours.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Variance_components/Legends/test-compute_variance_component_colours.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-model-fitting-device-policy.R,R/03_Supplementary_analyses/Testing/testthat/test-model-fitting-device-policy.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-monitor_pipeline_progress.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Orchestration/Monitoring/test-run_pipeline_progress_monitor.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-node_box.R,R/03_Supplementary_analyses/Testing/testthat/Presentation/IAVS/test-build_schematic_node_box.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-normalize_coordinates.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Transformation/Modern_records/test-normalise_coordinates.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-paleo-local-cv-decomposition-reference-contract.R,R/03_Supplementary_analyses/Testing/testthat/test-paleo-local-cv-decomposition-reference-contract.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-paleo-local-cv-scientific-reference-contract.R,R/03_Supplementary_analyses/Testing/testthat/test-paleo-local-cv-scientific-reference-contract.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-pipe_segment_interpolation_contracts.R,R/03_Supplementary_analyses/Testing/testthat/test-pipe_segment_interpolation_contracts.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-plot_anova_components_by_age.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Variance_components/Plots/test-plot_anova_components_by_age.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-plot_family_trait_comparison.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Quality_control/Taxonomic_comparison/test-plot_taxonomic_trait_comparison.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-plot_network_metrics_by_age.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Networks/Plots/test-plot_network_metrics_by_age.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-plot_spatial_biotic_component.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Spatial_variance/Plots/test-plot_spatial_biotic_component.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-plot_spatial_variance_stack.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Spatial_variance/Plots/test-plot_spatial_variance_stack.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-plot_spatial_variance_waffle.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Spatial_variance/Plots/test-plot_spatial_variance_waffle.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-plot_trait_group_distribution.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Quality_control/Focal_distribution/test-plot_focal_trait_distribution.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-plot_variance_component_triangle_legend.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Variance_components/Legends/test-plot_variance_component_triangle_legend.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-predict_sjsdm_probability_matrix.R,R/03_Supplementary_analyses/Testing/testthat/test-predict_sjsdm_probability_matrix.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-predict_spatial_resolution_grid_age.R,R/03_Supplementary_analyses/Testing/testthat/Prediction/Inference/test-predict_spatial_resolution_grid_age.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_abiotic_for_fit.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-prepare_abiotic_for_fit.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_binary_prediction_metric_input.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Evaluation/Metrics/test-prepare_binary_prediction_metric_input.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_community_for_fit.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-prepare_community_for_fit.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_continent_trait_data.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Transformation/Taxon_selection/test-select_continental_trait_table.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_coords_for_fit.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-prepare_coords_for_fit.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_decomposition_fold_input.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Decomposition/Diagnostics/test-prepare_decomposition_fold_input.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_fold_spatial_predictors.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-prepare_fold_spatial_predictors.R,test,#141,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_model_fold_input.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-prepare_model_fold_input.R,test,#141,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_sjsdm_cross_validation_fold.R,R/03_Supplementary_analyses/Testing/testthat/test-prepare_sjsdm_cross_validation_fold.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_sjsdm_tuning_folds.R,R/03_Supplementary_analyses/Testing/testthat/test-prepare_sjsdm_tuning_folds.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_spatial_predictors_for_fit.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-prepare_spatial_predictors_for_fit.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_spatial_variance_plot_data.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Spatial_variance/Data_preparation/test-prepare_spatial_variance_plot_data.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-prepare_spatial_variance_waffle_data.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Spatial_variance/Data_preparation/test-prepare_spatial_variance_waffle_data.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-project_coords_to_metric.R,R/03_Supplementary_analyses/Testing/testthat/Data/Spatial/Coordinates/test-project_coords_to_metric.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-project_spatial_mev_basis.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Spatial_effects/Projection/test-project_spatial_mev_basis.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-read_functional_type_classification.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Ingest/Functional_type_classification/test-load_functional_type_classification.R,test,#153,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-read_model_evaluation_target.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Evaluation/Results/test-load_model_evaluation_target.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-read_sjsdm_tier_survivor_decisions.R,R/03_Supplementary_analyses/Testing/testthat/test-read_sjsdm_tier_survivor_decisions.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-read_sjsdm_tier_tuning_artifact.R,R/03_Supplementary_analyses/Testing/testthat/test-read_sjsdm_tier_tuning_artifact.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-read_spatial_model_results.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Evaluation/Results/test-load_spatial_model_results.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-read_spatial_resolution_prediction_inputs.R,R/03_Supplementary_analyses/Testing/testthat/Prediction/Inputs/test-load_spatial_resolution_prediction_inputs.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-read_target_meta_or_empty.R,R/03_Supplementary_analyses/Testing/testthat/Presentation/IAVS/test-load_target_metadata_or_empty.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-read_target_or_null.R,R/03_Supplementary_analyses/Testing/testthat/Presentation/IAVS/test-load_target_or_null.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-read_targets_store_meta.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Stores/Metadata/test-load_targets_store_metadata.R,test,#155,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-read_vegvault_scalar.R,R/03_Supplementary_analyses/Testing/testthat/test-read_vegvault_scalar.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-recalculate_anova_components.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Variance_partitioning/Shapley/test-compute_shapley_variance_components.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-refresh_cz_decomposition_upstream.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Decomposition/Diagnostics/test-run_decomposition_upstream_refresh.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-remap_classification_table_by_community_taxa.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Taxonomic_resolution/test-prepare_classification_table_for_community_taxa.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-render_trait_qc_pdf.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Quality_control/Reporting/test-render_trait_quality_control_report.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-replace_na_community_data_with_zeros.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Transformation/Data_shape/test-replace_missing_community_counts_with_zeros.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-resolve_classification_to_finest_rank.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Taxonomic_resolution/test-resolve_classification_to_finest_rank.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-resolve_cross_validation_fold_count.R,R/03_Supplementary_analyses/Testing/testthat/test-resolve_cross_validation_fold_count.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
